# Region type : patch cell1_to_fins
# Faces  :    307
# Area   :    2.536208e-04
# Time        	areaAverage(T)
1.60525       	3.000049e+02
1.6055        	3.000049e+02
1.60575       	3.000049e+02
1.606         	3.000049e+02
1.60625       	3.000049e+02
1.6065        	3.000049e+02
1.60675       	3.000049e+02
1.607         	3.000049e+02
1.60725       	3.000049e+02
1.6075        	3.000049e+02
1.60775       	3.000049e+02
1.608         	3.000049e+02
1.60825       	3.000049e+02
1.6085        	3.000049e+02
1.60875       	3.000049e+02
1.609         	3.000049e+02
1.60925       	3.000049e+02
1.6095        	3.000049e+02
1.60975       	3.000049e+02
1.61          	3.000049e+02
1.61025       	3.000049e+02
1.6105        	3.000049e+02
1.61075       	3.000049e+02
1.611         	3.000049e+02
1.61125       	3.000049e+02
1.6115        	3.000049e+02
1.61175       	3.000049e+02
1.612         	3.000049e+02
1.61225       	3.000049e+02
1.6125        	3.000049e+02
1.61275       	3.000049e+02
1.613         	3.000049e+02
1.61325       	3.000049e+02
1.6135        	3.000049e+02
1.61375       	3.000049e+02
1.614         	3.000049e+02
1.61425       	3.000049e+02
1.6145        	3.000049e+02
1.61475       	3.000049e+02
1.615         	3.000049e+02
1.61525       	3.000049e+02
1.6155        	3.000049e+02
1.61575       	3.000049e+02
1.616         	3.000049e+02
1.61625       	3.000049e+02
1.6165        	3.000049e+02
1.61675       	3.000049e+02
1.617         	3.000049e+02
1.61725       	3.000049e+02
1.6175        	3.000049e+02
1.61775       	3.000049e+02
1.618         	3.000049e+02
1.61825       	3.000049e+02
1.6185        	3.000049e+02
1.61875       	3.000049e+02
1.619         	3.000049e+02
1.61925       	3.000049e+02
1.6195        	3.000049e+02
1.61975       	3.000049e+02
1.62          	3.000049e+02
1.62025       	3.000049e+02
1.6205        	3.000049e+02
1.62075       	3.000049e+02
1.621         	3.000049e+02
1.62125       	3.000049e+02
1.6215        	3.000049e+02
1.62175       	3.000049e+02
1.622         	3.000049e+02
1.62225       	3.000049e+02
1.6225        	3.000049e+02
1.62275       	3.000049e+02
1.623         	3.000049e+02
1.62325       	3.000049e+02
1.6235        	3.000049e+02
1.62375       	3.000049e+02
1.624         	3.000049e+02
1.62425       	3.000049e+02
1.6245        	3.000049e+02
1.62475       	3.000049e+02
1.625         	3.000049e+02
1.62525       	3.000049e+02
1.6255        	3.000050e+02
1.62575       	3.000050e+02
1.626         	3.000050e+02
1.62625       	3.000050e+02
1.6265        	3.000050e+02
1.62675       	3.000050e+02
1.627         	3.000050e+02
1.62725       	3.000050e+02
1.6275        	3.000050e+02
1.62775       	3.000050e+02
